Link,title
http://www.brpreiss.com/books/opus7/html/book.html,Data Structures and Algorithms with Object-Oriented Design Patterns in Python 
http://www.diveintopython.net/,Dive Into Python 3 
http://rhodesmill.org/brandon/2011/foundations-of-python-network-programming/,Foundations of Python Network Programming 
http://www.techbooksforfree.com/perlpython.shtml,Free Python books 
http://www.freetechbooks.com/python-f6.html,FreeTechBooks: Python Scripting Language 
http://greenteapress.com/thinkpython/,How to Think Like a Computer Scientist: Learning with Python 
http://www.network-theory.co.uk/python/intro/,An Introduction to Python 
http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471219754.html,Making Use of Python 
http://hetland.org/writing/practical-python/,Practical Python 
http://sysadminpy.com/,Pro Python System Administration 
http://www.qtrac.eu/py3book.html,Programming in Python 3 (Second Edition) 
http://www.wiley.com/WileyCDA/WileyTitle/productCd-0764548077.html,Python 2.1 Bible 
https://www.packtpub.com/python-3-object-oriented-programming/book,Python 3 Object Oriented Programming 
http://www.pythonware.com/daily/,eff-bot's Daily Python URL 
http://oreilly.com/python/,O'Reilly Python Center 
https://www.python.org/dev/,Python Developer's Guide 
http://win32com.goermezer.de/,Social Bug 
http://www.network-theory.co.uk/python/language/,Python Language Reference Manual 
http://www.informit.com/store/product.aspx?isbn=0201616165&redir=1,Python Programming with the Java Class Libraries: A Tutorial for Building Web and Enterprise Applications with Jython 
http://www.informit.com/store/product.aspx?isbn=0672317354,Sams Teach Yourself Python in 24 Hours 
http://gnosis.cx/TPiP/,Text Processing in Python 
http://www.informit.com/store/product.aspx?isbn=0130211192,XML Processing with Python 
